[0, "RT @ACreativeLoser: Are we live @cthagod ? Are we Live? Alright Check it...\n."]
[515, "RT @delavinkisses: #NowPlaying the old but gold Sparks fly- Taylor Swift. Good night for now fam, but there's something exciting na mangyay…\n."]
[516, "Just spent and hour looking at pics of Rihanna so I'm gonna go kill myself now :)\n."]
[517, "#Hot #BritneySpears WACKY PACKAGES 50TH ANNIVERSARY SILVER CARD BRITNEY SPEARS OOPS I DID IT…… https://t.co/EJ8tnnasWw\n."]
[518, "RT @TheSoccerLifee: Rihanna and her love for the game⚽️😍 https://t.co/CUPbjTxiNb\n."]
[519, "new rihanna nude pictures https://t.co/EgE7cMWVrK\n."]
[520, "@S_LaGuerre @ChefJeff19 He too big to dress like Bruno mars lol\n."]
[521, "@mercnews: Former radio host in Taylor Swift lawsuit wants singer’s expe  excluded from trial https://t.co/XCsmuLbOpJ https://t.co/qN8w…\n."]
[522, "RT @maxwunderlin: my dog smiles every time she listens to a Rihanna song and it's the best thing ever https://t.co/3feVmLcoEq\n."]
[523, "RT @ImJosnu: "El mundo se volvio una mierda cuando la palabra gay se convirtio en insulto" -Lady Gaga\n."]
[524, "top five singers? — 1) gorillaz\n."]
[525, "Old Posts: Kanye West - Runaway (2010) https://t.co/GzQ9sn88PM #sincategoria\n."]
[526, "Taylor's swift has a new boyfriend. This means a new breakup song is coming soon. I'm so excited!\n."]
[527, "Btw Justin Bieber is better than Michael Jackson\n."]
[528, "Chrissy Teigen Shares Adorable Video of Daughter Luna Dancing to Rihanna’s ‘Needed Me’ — Watch! https://t.co/8rdOnEGG31\n."]
[529, "-Pitbull, dame tu pin -Ok, anota: 1234D4L3.\n."]
[530, "Talk an oldie but my fav for @rihanna #onlygirlintheworld #loud #badgalriri #anti https://t.co/kWPdAJBk4G\n."]
[531, "RT @breatheheavycom: Chic's @NileRodgers says the band's new album will feature @ladygaga, Daft Punk, @Avicii &amp; @Pharrell: https://t.co/61d…\n."]
[532, "Playing: Bruno Mars - 24K Magic (Visit Us https://t.co/0hNVSiYKay #RealRadio\n."]
[533, "Kanye West Wants Everyone To Say The N-word. "N*gga", it's a word! Right?\n."]
[534, "@MrMouthAlmighty: .@billboard named @rihanna's 2011 &amp; 2016 performances at the #BBMAs as two of the best of all time. https://t.co/SWxro�\n."]
[535, "RT @sonetwt: rihanna liked a picture of tiffany on instagram, i love stanning a legend\n."]
[536, "RT @ZendayaMedia: Zendaya Performs '24K Magic' (Bruno Mars) | Lip Sync Battle https://t.co/tykK49gXkW\n."]
[537, "Dog po rait painting of 'Pisces' 10x12ins #dogs #cute #pet #po rait #a  #pet #painting  #pitbull� https://t.co/ebQnE1GWlN\n."]
[538, "RT @Fact: Lady Gaga wrote and recorded more than 90 songs for her album 'ARTPOP' – Only 15 of them made it on the album.\n."]
[539, "I liked a @YouTube video https://t.co/Zwg7aKJGow Despacito and I'm the One by Justin Bieber, Luis Fonsi, Chance the Rapper + more |\n."]
[540, "Rihanna is played on both black and white platforms. Beyonce is mostly played on urban(black) platforms. https://t.co/lZRHh7s1m5\n."]
[541, "Brand New Still Sealed 25 by Adele (CD, Nov-2015, XL) #adele #ISTHEBEST ♥ https://t.co/g6XTSxF2wz\n."]
[542, "#NowPlaying Pitbull - Fun (Lyric) ft. Chris Brown\n."]
[543, "She really tryna Taylor Swift this situation, lmao wowwwww https://t.co/xIguKTMyYn\n."]
[544, "Halle Berry is a gotdamn vision and the best thing to happen to instagram since Rihanna.??THIS IS NOT DEBATABLE DO N� https://t.co/qrHxzlrSxc\n."]
[545, "RT @SelGomezNewsCOM: Backstage Magic with Selena Gomez!!! https://t.co/D6sph8niU7\n."]
[546, ""When you smile, the whole world stops and stares for awhile. Because you're amazing just the way you are." - Bruno Mars\n."]
[547, "Adele - Right as Rain\n."]
[548, "RT @BMETweetz: Gd Mrn/Afty Hooligans &amp; Lovelies. Just sharing sexy footage of our Sex Activator, Bruno Mars 😰😇 Plz vote! #PREMIOSMTVMIAW #M…\n."]
[549, "Bruno and Rihanna....performance? They better word that better before I lose it.\n."]
[550, "#NowPlaying "Real Friends" by Kanye West in @TIDALHiFi https://t.co/1reAYvXdbN\n."]
[551, "Listen to Adele - set fire to the rain (lyrics on screen) (original) by Jéssica Ozorio #np on #SoundCloud\n."]
[552, "@blessedswifty: In a recent controversial study, it has been proved that Taylor Swift haters on average have a lower IQ level than the r…\n."]
[553, "@RiRiHumor: me: only deep and meaningful lyrics get to me\n."]
[554, "RT @StephxStef: Lady Gaga's laugh: a thread\n."]
[555, "RT @TheHipHopShark: What album are you more excited for?\n."]
[556, "RT @girlhoodposts: The way Justin Bieber says "Despacito" is so sexy it hurts 😍😩 https://t.co/1VyMrvqvIY\n."]
[557, "@drewtoothpaste @yugiohtas Does Bruno Mars is gay?!!!!!\n."]
[558, "Going to see lady Gaga on November 11th😍❤️ I have looked up to her since I was 7❤️🤧🤧 I love you so much @ladygaga ❤️❤️\n."]
[559, "RT @TheGloryBritney: Britney Spears' unreleased songs are better than the entire discography of today's pop girls https://t.co/4yFZVhh1av\n."]
[560, "bruno mars is an absolute LEGEND\n."]
[561, "RT @healthmediagal1: It's hot 🌞today. I ❤️it but it's a bit much for my baby Blue #staffie #pitbull @dogs @drjoyce_knudsen @mfarca @liveyou…\n."]
[562, "day 17: a song that features your favorite artist #30daymusicchallenge\n."]
[563, "@JohnnyGWeir: ??Love on the Brain | @rihanna | #3A #training #improv @ Skating Club of Wilmington https://t.co/H4hEBNBnYk\n."]
[564, "RT @taayanthony: Rihanna hyping Rihanna is the best thing ever. https://t.co/8kdnsslNm3\n."]
[565, "RT @fentyy: rt if ur happy n thought Rihanna looked good af https://t.co/NF6bPhsyxi\n."]
[566, "RT @danielgotskillz: Which rapper you think is going to wear the romper first?  Lil uzi, Young Thug, Kanye West, or A$ap Rocky lol "Fashion"\n."]
[567, "Happy bi hday, sis! @rihanna @LustforLo one of the two https://t.co/CL38SIHbs8\n."]
[568, "RT @SpookyMagoo: Cannes 2017 Festival Rihanna and Bruno Mars confirmed for a private concert...... This is a… https://t.co/Dx6rbqAbpG\n."]
[569, "#sexpa y pics free pics of rihanna having sex https://t.co/0SVd6S1mcu\n."]
[570, "@LB_Joakim: Best tone: Rihanna\n."]
[571, "@RihannaNominees: Rihanna has been nominated ''Best Look&amp;Smile'' for TIM MTV Awards 2017!\n."]
[572, "From Meg Whitman To Taylor Swift: Meet The 60 Richest, Most ... - Forbes https://t.co/qaKEJuTiZm\n."]
[573, "@Ameezy We're about to play LADY (IHM CLEANER) by AUSTIN MAHONE / PITBULL! Listen &amp; Vote 4 More: https://t.co/f5amqmpBgv\n."]
[574, "Drake Ft. Rihanna - Too Good (Clean) #NOWPLAYING #MIX101RADIO #IAMDJ525\n."]
[575, "sexy lingerie for big boobs #pic of britney spears naked https://t.co/nbD8p53LEr\n."]
[576, "RT @beautifulcelebz: How many RTs for Selena Gomez + Taylor Swift? 😍 https://t.co/vmfdeWDsZN\n."]
[577, "?????Rihanna is the greatest legend of our generation\n."]
[578, "Taylor Swift - Clean https://t.co/zUJ37K49yp\n."]
[579, "@ghettoswiftie: Alright swifties, it's happening. Taylor has a new man and haters will arise. Get ready to defend her at all costs. http…\n."]
[580, "Others dont find it funny\n."]
[581, "Jeezy - Haha! https://t.co/Xl0pZYrgZn\n."]
[582, "Rihanna out here serving high fashion better than these models.\n."]
[583, "RT @proudofladygaga: The Lady Gaga • UO • Joanne collection will be available in all North American stores this Friday. https://t.co/7KAyYr…\n."]
[584, "@autsaidso: Good job tonight baby???? @rihanna https://t.co/ZKIQH66haO\n."]
[585, "Me: I'm not going to record anything. I'm just going to live in the moment.\n."]
[586, "RT @TheSunFootball: 50 Cent and Bruno Mars set to be booked for the greatest title party in football history https://t.co/gK8Bqz4eXL https:…\n."]
[587, "RT @TrellBeyLike: We all kno why Adele sells so much. The same reason why Eminem is the highest selling rapper... https://t.co/xMImZG6FOo\n."]
[588, "Gostei de um vídeo @YouTube https://t.co/jvcZcLnAg5 Faustini - LOVE ON THE BRAIN (Rihanna)\n."]
[589, "Matt Damon married a waitress , Kortney Kardashian is dating a 23 year old , Britney Spears baby daddy was a backgr… https://t.co/KNi5YqLyV8\n."]
[590, "So dim that spotlight, tell me things like\n."]
[591, "New post (Christie Brinkley &amp; David Foster's Relationship Reality; Taylor Swift's ...) has been published on B ...… https://t.co/Ec1ewgSFAV\n."]
[592, "@troylorswift13: Taylor Swift's rare songs that aren't about breakup. For the people who said that all of her songs are about breakup. (…\n."]
[593, "caitlin added so much of rihanna's music to the playlist she made me i love it\n."]
[594, "RT @billboardlatin: Billboard News: Luis Fonsi &amp; Daddy Yankee's 'Despacito' (feat. Justin Bieber) tops Billboard Hot 100 https://t.co/M0bmr…\n."]
[595, "Me: his mom loved the Beatles\n."]
[596, "RT @adelesoup: This is Adele. Adele is smart. Adele is beautiful. Adele is talented. Adele is loving. Adele respects all kinds of people. B…\n."]
[597, "#sexy granny tgp kanye west nude https://t.co/iXcVnq5tPF\n."]
[598, "J'ai ajouté une vidéo à une playlist @YouTube - Lady Gaga - Perfect Illusion https://t.co/ogfjlR7dpW\n."]
[599, "@Mbeyer101196 !  I'M THE ONE by DJ KHALED/JUSTIN BIEBER/QUAVO/ is playing on @1061BLI soon! Pick more songs here: https://t.co/CMhGyxY2Qn\n."]
[600, "I really love Taylor swift!!\n."]
[601, "RT @TSupdated: With a net worth of $280M, Taylor is once again the youngest person on @Forbes 2017 'Self-Made Women' list!\n."]
[602, "@anneventurer happy bday adele my loves!!! i miss you!!\n."]
[603, "I really really hope Joel Embiid gets Rihanna before Drake does. https://t.co/HHdLDw1dfM\n."]
[604, "RT @dorky_dork09: Rihanna liked Tiffany's photo\n."]
[605, "RT @Jetsfifita: Eminem Ft Adele - Success (New Song 2017)\n."]
[606, "the video of the girl asking rihanna if she remembers her is still iconic\n."]
[607, "I liked a @YouTube video https://t.co/kjXJkVvyQL That's What I Like - Bruno Mars: The Filharmonic (Live A Cappella Cover)\n."]
[608, "why is bruno mars's most recent album sounding like a boys 2 men tribute\n."]
[609, "We all kno why Adele sells so much. The same reason why Eminem is the highest selling rapper... https://t.co/xMImZG6FOo\n."]
[610, "5 Things You Need To Know About Taylor Swift's New Boyfriend Joe Alwyn\n."]
[611, "MONUMENTS MOMENTARILY FONDNESS FOR DAIRY PRODUCTS NANOTECHNOLOGY LADY GAGA ALIVE. MAINTAIN. MATINEE OF OLD QUANTUM COMPUTING YOUTUBE\n."]
[612, "Drake f./Rihanna - Too Good https://t.co/KH2cBqTlxw #Plug #PlugRadio #Bham #Alabama\n."]
[613, "@KeithTPowers: Nah, but this @rihanna GIF is dangerously sexy. My goodness... https://t.co/4MBU2djilH\n."]
[614, ""Where in the world is taylor swift???" crouch end I guess lol\n."]
[615, "#NowPlaying Sex With Me by Rihanna on #UrbanRadio New R&amp;B https://t.co/j9DpFDAXC0\n."]
[616, "@GIRLposts: Rihanna is so beautiful ????  https://t.co/66wHwRqXAq\n."]
[617, "But this love is ours (Taylor Swift  -  Ours)\n."]
[618, "Im not like rihanna. I dont love the way you lie\n."]
[619, "Nice discogr…\n."]
[620, "@Fentycha s: Rihanna's non-single, bonus track "Pose" debuted at #45 on the Billboard Dance Club Songs cha , becoming her 6th single f�\n."]
[621, "145 NEW\n."]
[622, "@CSNPhilly: Embiid feels great, made pitch to Rihanna: "Look at myself. I'm 7-2. I'm good looking. Women usually love my accent" https:/�\n."]
[623, "@RihannaDaily: #RIHMINDER Rihanna will unveil her first Rihanna x Chopard Haute Joaillerie Collection during Cannes Festival (May 17-28)�\n."]
[624, "Taylor Swift Has A New Boyfriend! https://t.co/hPa64W9zR3 https://t.co/9A1Kp2jTro\n."]
[625, "#xxx #naked #ass #tits #girls #camsex #supergirl free nude pics of selena gomez https://t.co/rFFXp8Htzb\n."]
[626, "@kenzieabbott92: Wonderland is unmeasurably the most underrated Taylor Swift song.\n."]
[627, "Iba a escribirle y empezó a sonar Send my love de Adele...\n."]
[628, "life makes love look hard\n."]
[629, "RT @PowerCountryK93: Taylor Swift Is Dating a New Man: Everything We Know https://t.co/u9jsdcxRYB\n."]
[630, "Rihanna-We Found Love\n."]
[631, "RT @KeithTPowers: Nah, but this @rihanna GIF is dangerously sexy. My goodness... https://t.co/4MBU2djilH\n."]
[632, "RT @TSwiftinAsia: With a net worth of $280M, Taylor Swift is the youngest on Forbe's "Self-Made Women" list for 2017!\n."]
[633, "Good For You by Selena Gomez on Z102.9. Listen live at: https://t.co/X9ntKASdRk\n."]
[634, "@badg4lrihanna: I just love these Rihanna inspired graduation hats ?? https://t.co/xAfmv2UvsA\n."]
[635, "Best technique: Adele\n."]
[636, "RETWEET IF YOU WANT LADY GAGA AND NICKI MINAJ DUET WITH NEW PROJECT #MTVHottest Lady Gaga\n."]
[637, "RT @ZIPERATlVO: TOP ÁLBUNS:\n."]
[638, "RT @justinbie8er94: Video of Justin Bieber on Instagram Live. (May 16)\n."]
[639, "Me: ok sweetie, let's see how you react after TS6 is released https://t.co/K0TOVhVJUR\n."]
[640, "Yes, the rumours are true. I, @curedfaggot stan.... Selena Gomez a bit https://t.co/pTks0wMH8G\n."]
[641, "American Horror Story: Taylor Swift whhhhyyyy have I not listened to @ThisIsTheRead b4 2017?! gettin my WHOLE life!😂#WhoSta edFromTheBottom\n."]
[642, "@ZIPERATlVO: TOP ÁLBUNS:\n."]
[643, "@TheShadyFacts: According to Metacritic, Taylor Swift's worst reviewed album is 12 points better than Katy Perry's best reviewed album.…\n."]
[644, "RT @ArianaWWNow: ⭐️ The Most Followed Female Artist On Spotify 🌎\n."]
[645, "TOP ÁLBUNS:\n."]
[646, "But Spicy had a whole beef with dippin dots, he's a pitbull 😉 https://t.co/4k1oPTPIk4\n."]
[647, "You told me you loved me So why did you go away? - Taylor Swift(LK)\n."]
[648, "@peta @rihanna I'm fine.\n."]
[649, "@SwiftiesIndia: 2 Years Ago, Today, Taylor Swift and Ed Sheeran celebrated 3 Years of their Friendship with this Video!! 🎉💕 https://t.co…\n."]
[650, "RT @LiveNationUK: EXTRA TICKETS: standing &amp; seated now available for BOTH @ladygaga dates at @TheO2! Book yours 👉https://t.co/ScFpqiNegs ht…\n."]
[651, "Soy el mapa, soy el mapa, soy el mapa... (*sale pitbull*) Dale mapa, a la Dora, mira que ta bien buena, ya tu sabe!...\n."]
[652, "That's What I Like by Bruno Mars on Z102.9. Listen live at: https://t.co/X9ntKASdRk\n."]
[653, "@thephillyvoice: Joel Embiid keeps up Rihanna pursuit: 'I�m 7-2, good looking, and women usually like my accent' https://t.co/pmyapTpSlg�\n."]
[654, "I vote for @justinbieber for top social Artist #BBMAs…\n."]
[655, "RT @LadyGagaHooker: Iconic moment at Lady Gaga's artRAVE ARTPOP Ball Tour. No matter what, #LoveIsLove https://t.co/i762t8Z3dn\n."]
[656, "RT @gagadaily: Lady Gaga's #TheCure has reached 50 million streams on Spotify! Stream it from the Today's Top Hits playlist: https://t.co/i…\n."]
[657, "@hsfloural: otros medios: y taylor swift? Y kendall? Eres gay? Eres hetero?\n."]
[658, "#Top 2 #CDG DISCS TAYLOR SWIFT KARAOKE COUNTRY HITS QH-1013,QHTS-1000 #CD #Music *SALE* https://t.co/wj9eP5bqNL… https://t.co/qHFBhsNkda\n."]
[659, "RT @PopCrave: Check out Justin Bieber's new next-level merch for his "The Purpose Stadium Tour". 😍 https://t.co/gGY6j3emcv\n."]
[660, "#NowPlaying Kanye West @kanyewest ft Rihanna @rihanna &amp; Swizz Beatz @therealswizz - Famous on OYL Radio - https://t.co/SMvtDMxQN8\n."]
[661, "J'aime une vidéo @YouTube : "Lady Gaga - Perfect Illusion" à l'adresse https://t.co/ogfjlR7dpW.\n."]
[662, "@MadonnaCha s_: Many young people speak bad of Madonna and Britney, which does not seem fair because thanks to them, Rihanna, Beyonce &amp;�\n."]
[663, "RT @AmazinVoices: If Rihanna and Sia had a daughter she would sound like this https://t.co/z3z24PQnlF\n."]
[664, "@_DashawnJ_: Rihanna Should of won a Grammy for "ANTI" Honestly ??\n."]
[665, "songs by justin bieber list, To give anything less than your best, is to sacrifice the gift., http://goo. #1d #rihanna #bieber #adele #song\n."]
[666, "Top 10 cantantes de música cristiana en español más seguidos en Twitter https://t.co/UnPeGrCX9u vía @revistastm\n."]
[667, "Love On The Brain - Rihanna (ANNA Cover) https://t.co/61Qhc8lgXa ? ??????? @YouTube\n."]
[668, "RT @alannamarie77: *goes to bubble tea place* @L_P_B__ : "This is the first time I've been here that they haven't been playing Bruno Mars.\n."]
[669, "RT @B_Ball_Stuff: "The Process" Takes NYC - Inside Joel Embiid's day where he made a play for Rihanna, clowned around Magic Johnson and sec…\n."]
[670, "Rihanna taking a shower [more in comments] https://t.co/kdW3WX5VyV\n."]
[671, "I LOVE STANNING LEGENDS\n."]
[672, "RT @50cent: I liked a @YouTube video https://t.co/1Ge2QzqAll Rihanna Love On the Brain | Live at Global Citizen Festival 2016\n."]
[673, "I liked a @YouTube video https://t.co/ak0Yw0JIc9 Siblings Mashup Dance Battle (Bruno Mars - That's What I Like Mix) | Ranz and Niana\n."]
[674, "@rihanna is gay she ain't even black\n."]
[675, "Great performer\n."]
[676, "RT @JBItalianCrew2: "Siete fantastici. Siete incredibili. Vi amo". -Justin Bieber ai fans in live su Instagram.\n."]
[677, "RT @biebercharts: Billboard Canadian Hot 100:\n."]
[678, "Kehlani liked Taeyeon's photo\n."]
[679, "Taylor Swift's New BOYFRIEND - Selena Gomez Controversial Song Teaser? (DHR) https://t.co/uptgly9OCZ\n."]
[680, "@imLouiseChantal: what Rihanna did with ANTI was incredible, I look forward to the reflection on her career as a whole from this point 1�\n."]
[681, "From Meg Whitman To Taylor Swift: Meet The 60 Richest, Most ... - Forbes https://t.co/N7ohtiOAgm\n."]
[682, "#tmz rihanna naked singapore sexy partner https://t.co/5MHiZLgDdG\n."]
[683, "this album changed my life &amp; i also was blessed to hear these songs live this year :'…\n."]
[684, ""Love in the Dark" - Adele (Cover by Korie Anne) https://t.co/iBnI0CKCi5 @KorieAnne1 #rockndawg\n."]
[685, "RT @TocHendrix: I love "Bruno mars - what I like" every time I get in the car I play it.\n."]
[686, "New post (Inside Taylor Swift's Undercover Romance | E! News) has been published on Bonjournal-best Hub of News -… https://t.co/1MLkFmqxtm\n."]
[687, "RT @TheStoryOfRed13: Taylor Alison Swift is a grown ass woman and can date who ever the hell she wants 😤\n."]
[688, "“Never compare yourself to the beautiful girls. There's always someone gorgeous who will make you feel like you're not'-Taylor Swift\n."]
[689, "#NowPlaying Hey Ma (Clean) [JAF] - J Balvin f./Pitbull\n."]
[690, "Justin Bieber cantando "Despacito Remix" durante a live no Instagram. #JustinBBMAs https:/…\n."]
[691, "#lavarball is like a YOUNG KANYE WEST before He became a kardashian @cthagod\n."]
[692, "RT @wwd: .@justinbieber just dropped a new "Purpose the Stadium Tour" look book: https://t.co/QUIrUUGj08 https://t.co/gq8qB7UvGA\n."]
[693, "T I Live Your Life Feat Rihanna ��Result https://t.co/ dD47Y0uZ\n."]
[694, "RT @CSSMFC: Awesome Adele #Chaturbate Bio design template! https://t.co/idviCbEd7z Available for live editing on #CamgirlLiveEditor tool\n."]
[695, "RT @iwatchedbieber: imagine not stanning someone as amazing as Justin Bieber im so sorry for you if you can't relate honestly\n."]
[696, "Now Playing HD: Diva Ft Pitbull Taboo Roscoe Umali - Love Is Going Nowhere https://t.co/rUmjBtAfQE\n."]
[697, "@edm_6yhn: ????? BEST??\n."]
[698, "kanye West / RIhanna - Famous https://t.co/JGnbkV87r0 #NowPlaying #deftal #listenlive\n."]
[699, "RT @enews: Taylor Swift happened to find someone whose reputation has not preceded him for a change. Is this the right move? https://t.co/0…\n."]
[700, "I liked a @YouTube video https://t.co/soLaz2ZLGQ Adele - 21 - I Found A Boy\n."]
[701, "@beyhivedc Yes. It was the same interview where she claimed Adele was a better vocalist than Bey.\n."]
[702, "@Adele  love u :)...\n."]
[703, "@fentyy:   if ur happy n thought Rihanna looked good af https://t.co/NF6bPhsyxi\n."]
[704, "@IIuminame @tsumugiluvr i... love pitbull mr worldwide mr 305\n."]
[705, "#keepitlocked N/P: Pitbull - Welcome To Dade County https://t.co/NSrgOrMyKh\n."]
[706, "@JosueMEstrada: Aquí viendo a Taylor Swift en MTV haha #HolaMaríaEnMTVHits https://t.co/Ty2CotjmYZ\n."]
[707, "RT @proudofladygaga: The Lady Gaga • UO • Joanne collection will be available in all North American stores this Friday. https://t.co/B5z6jU…\n."]
[708, "And about Taylor Swift . Dailymail quoted "The believers point out that Taylor, who was born in 1989, looks remarkably like Zeena Schreck .\n."]
[709, "我喜歡一部 @YouTube 影片 https://t.co/9nsbxJ3qvu Lady Gaga - The Cure (Lyric Video)\n."]
[710, "lol\n."]
[711, "more rihanna x gotham city sirens looks! https://t.co/sMhR9LxHiS\n."]
[712, "Reproduciendo "Fun (feat. Chris Brown)" de "Pitbull" en #RadioGarach !!!\n."]
[713, "Gostei de um vídeo @YouTube https://t.co/IHk9x2s9QQ My Love (To Your New Lover) - Adele (Boyce Avenue acoustic cover) on Spotify\n."]
[714, "deviam ter falado com a rihanna pra estrear o clipe de love on the brain lá https://t.co/JBNKb9n8j7\n."]
[715, "Gostei de um vídeo @YouTube https://t.co/JOaOznSM8x Snake - Let Me Love You ft. Justin Bieber\n."]
[716, "I liked a @YouTube video https://t.co/pdluf1xBJN That's What I Like - Bruno Mars | Cover by Asia Anastasia\n."]
[717, "RT @WUTBAdele: Emma's best friend is Adele.... ummm well look at this https://t.co/R15qb9VRHS\n."]
[718, "@gabbyrae3: old Taylor Swift songs are honestly the best idc what anybody says those things are fire\n."]
[719, "Welcome to New York 🗽\n."]
[720, "Listen to me sing "24K Magic" on #Smule: https://t.co/lPcVJayrwy #SingKaraoke\n."]
[721, "taylor swift - clean https://t.co/dW2menqMJ4\n."]
[722, "Britney Army &amp; Camilizers I don't know most of you BUT guys u r the best, we stan the 2 most AMAZING AND TALENTED GIRLS IN THE ENTIRE WORLD.\n."]
[723, "RT delavinkisses: #NowPlaying the old but gold Sparks fly- Taylor Swift. Good night for now fam, but there's something exciting na mangyaya…\n."]
[724, "Taylor Swift sends a touching note to a fan who invited her to a graduation pa y: 'I'm so proud of you' - AOL -  https://t.co/nWmE6nKhJO …\n."]
[725, "@BET: The 2017 #BETAwards nominees for Best Female R&amp;B/Pop A ist are...\n."]
[726, "more orals no morals\n."]
[727, "@Airii_Official: Hey we're back with a cover of Rihanna Medley hehe do follow our group acc for more covers in d future @soultoooth ???????�\n."]
[728, "@workbyfenty:   if ur happy n thought Rihanna looked good af https://t.co/1xAlTKlRLj\n."]
[729, "Spot On! for the ever brilliant A  Spirit: Well, Rihanna just won the #MetGala ... again https://t.co/ctGFDvSON2 via @HuffPostCaStyle\n."]
[730, "@HarIemagne: gaga has a better discography than Rihanna? https://t.co/H1P1UTLCI9\n."]
[731, "I Don’t Wanna Live Forever (Fifty Shades Darker) by ZAYN &amp; Taylor Swift — https://t.co/f5urWMLFfp\n."]
[732, "I liked a @YouTube video https://t.co/eer8m9bzwD Rihanna - Needed Me (Sub. Español)\n."]
[733, "Mike Will Made-It and Rihanna - Nothing Is Promised (Clean) #NOWPLAYING #MIX101RADIO #IAMDJ525\n."]
[734, "Full promotional photo of Selena Gomez photographed by Petra Collins for her new single “Bad Liar”! #SGBadLiar… https://t.co/UrIW1wYQ6J\n."]
[735, "@Oprah I'm accepting 2017 as My Year of Adventure!"First took my King 2 #Cancun for much needed R&amp;R! Next? A Bruno Mars weekend..anywhere!\n."]
[736, "@taayanthony: Rihanna hyping Rihanna is the best thing ever. https://t.co/8kdnsslNm3\n."]
[737, "Welcome to Nicaragua. Your travel companion is Britney Spears. You see Queen Elizabeth.\n."]
[738, "RT @biebermaniasbra: WOW! Justin Bieber é o artista n° 1 do Spotify. 👑\n."]
[739, "??Pitbulls are love?? See More at ??https://t.co/UitNidfQUd?? #pitbull #pitbullsofinstagram #pitbulls #pitbulllove #pi�� https://t.co/IocAz4csNy\n."]
[740, "My aunt's pitbull that I'm dogsitting will not stop humping me. She's more muscular than most people I know and using her nails.??\n."]
[741, "RT @biebercharts: This week, 'Despacito (feat. Justin Bieber) is #1 on Billboard Hot 100, United World Chart, Official Charts UK, and Canad…\n."]
[742, "The best male artist nowadays\n."]
[743, "#see rihanna nude pictures free threesome porn https://t.co/vXt5ByWw7T\n."]
[744, "Old, but re-sharing. #Bowie #Portraits #Photography #London @guardian https://t.co/M67gZwZ7EQ\n."]
[745, "@isabell74945585 Espera um pouquinho, hahaha\n."]
[746, "I liked a @YouTube video https://t.co/GnJkUFOmna Deepika Padukone BEST REPLY To Rihanna's Insta Post On Deepika's Dress\n."]
[747, "Me ha gustado un vídeo de @YouTube (https://t.co/MZjJAQmwQh - Bossa n` Adele - Full Album! - The Sexiest Electro-bossa Songbook of\n."]
[748, "@mtrvnch: Taylor Swift:   if you've seen live, like if you haven't https://t.co/xRZRUtumh9\n."]
[749, "RT @literaryswift: rare footage of taylor swift with a dog. rt for good luck https://t.co/k91nVgzYk1\n."]
[750, "#Rihanna #Pose Far East Movement Rmx\n."]
[751, "A veces me siento Lucky, la de la canción de Britney Spears.\n."]
[752, "RT @badg4lrihanna: I'm pretty sure Rihanna is unreal https://t.co/pGz46Mdy06\n."]
[753, "RT @TheGarden: Have you heard @EnriqueIglesias’ new remix with @CNCOmusic? Enrique &amp; @Pitbull are heading to MSG this 6/30 &amp; 7/1! https://t…\n."]
[754, "3- porque han sido teloneros de R. Martín y próx de enrique Pitbull y ariana grand #PREMIOSMTVMIAW #MTVHITCNCO… https://t.co/B0jIIUVKzk\n."]
[755, "@Ginaoben: Rihanna - Love On The Brain\n."]
[756, "RT @biebermaniasbra: ASSISTA A LIVE COMPLETA: Justin Bieber em sua live no Instagram. - 16 de maio: https://t.co/OCylnvXiXy\n."]
[757, "Just better than anyone\n."]
[758, "@myboycrushs: tom holland's full lip sync battle performance of "Umbrella" by Rihanna\n."]
[759, "@enews: Taylor Swift is taking a break from the spotlight but she wasn't the first celebrity to take some (blank) space. https://t.co/Js…\n."]
[760, "- Justin na live do IG [16/05]\n."]
[761, "RT @EileenGrace2810: @Bitiiez @BTS_twt I'm voting for @BTS_twt for the #BTSBBMAs Top Social Artist Award Los votos de Justin Bieber subiero…\n."]
[762, "RT @teachingrascals: I judge every #snl performance based on Kanye West performance of Power on the show. Best snl performance ever.\n."]
[763, "RT @RihannaNewsUK: Joel Embiid isn't giving up on his quest for Rihanna date - New York Post https://t.co/jMToz0CKc8 https://t.co/qmeliufgrY\n."]
[764, "I am voting for Justin Bieber for TOP SOCIAL ARTIST at the #BBM…\n."]
[765, "RT @1027KIISFM: Are you READY??! @selenagomez  https://t.co/nzLsZ7ELip\n."]
[766, "RT @billboard: Today in 1999 @BritneySpears topped the #Hot100 for the first "Time" https://t.co/D7BxNH8zbK https://t.co/9aZRamdBsn\n."]
[767, "-excellent, versatile discography\n."]
[768, "RT @SChubbz: Flacko the goat but Kanye West is alive and well. https://t.co/agb8UxECwV\n."]
[769, "RT @Glynner85: At this point Trump could literally interview Britney Spears for FBI Director and I'd be completely unfazed.\n."]
[770, "RT @brecht_vanneste: Interesting perspective on Alzheimer patients: "...when we stigmatize a group of people, we cease to care." https://t.…\n."]
[771, "Apologies to my neighbours! Clearly thinking I'm going through a break up 😂 blasting Bruno mars when I was your man! And singing so loud 🙈😂\n."]
[772, "RT @TSwiftLA: Taylor is the youngest person on @Forbes 2017 'Self-Made Women' list with a net worth of $280M!\n."]
[773, "-more iconic hits than your fave\n."]
[774, "Lorde Channels Rihanna In 'ELLE' In Identical Gucci Top - Hollywood Life https://t.co/YwtME52Jpe\n."]
